epoch,cumulative_energy_j,val_r2,info_gain_nats
0,0.0,0.0,0.0
1,0.2651804167561055,0.6546984763456232,0.5316686310217149
2,3.561846094493437,0.6746203866993957,0.5613813686782679
3,6.857015174661112,0.6886691196387564,0.5834495041888925
4,10.078363836443662,0.6983676510127342,0.5992731953423588
5,13.365463056075573,0.7053409869741988,0.6109682396221353
6,16.664260418883895,0.7110614419669751,0.6207706077172785
7,19.983569675516367,0.7155404728470349,0.6285821475516943
8,23.250328093886136,0.7194500302663976,0.6355017123337637
9,26.63809409571929,0.7224722550996182,0.6409171845852398
10,29.932816162523128,0.7251229772459913,0.6457157356601247
11,33.26951260205231,0.7275398910241021,0.6501315323370196
12,36.56103495829993,0.7297080965730192,0.654126390086797
13,39.837587080293986,0.7316755483979749,0.657779195199635
14,43.116335791819715,0.7333251910252951,0.6608626533966594
15,46.357542604324244,0.7350667172469574,0.664138623944827
16,49.63995612441526,0.7362910837567102,0.6664546870614387
17,52.87806056790662,0.7372973715015296,0.6683662883182934
18,56.12402850737519,0.7383388120979022,0.6703523940204035
19,59.33706350351887,0.7392646007786705,0.6721245909925708
20,62.51457210330048,0.7403519103763079,0.6742140331121971
21,65.65647172634759,0.7415126606979501,0.6764542818940128
22,68.98059995525995,0.7424731450986315,0.6783156367185805
23,72.23879148215407,0.7434542374252848,0.6802241093437195
24,75.45833996053992,0.7443706513089856,0.6820133701677925
25,78.76430109317808,0.745097696907473,0.6834374661811192
26,82.05444736688656,0.745793583463535,0.6848043392332126
27,85.34100755323009,0.746488709935688,0.6861734600998913
28,88.59166204263124,0.7470611619445209,0.6873037831481885
29,91.8814188073699,0.7475967534460882,0.6883636428321984
30,95.15267181427889,0.7481996789797956,0.6895594412355881
31,98.43406380002847,0.7488406783776531,0.690833896858975
32,101.75623847418241,0.7494805902605023,0.6921094387344681
33,104.96342156573664,0.749998351860349,0.6931438842915089
34,108.32108659034286,0.7505444124894937,0.6942371928027106
35,111.59244997839399,0.751064936175915,0.6952816021917877
36,114.90665197032547,0.7515681315562204,0.6962933211448294
37,118.26770160636521,0.7519854505212069,0.6971339336424065
38,121.5321135229395,0.7525615402154492,0.6982966876132071
39,124.78719911566796,0.7529828927961805,0.6991488424090132
40,128.14248247599897,0.7535127643304534,0.7002225345568927
41,131.4091646182888,0.7539920914087223,0.7011957974107513
42,134.7216325307797,0.7544785315817195,0.7021854439192942
43,138.0270255735756,0.7550721297428822,0.7033957594487485
44,141.28161233348843,0.7554478964939426,0.7041634452480057
45,144.55353152824875,0.7558955988399895,0.7050796357970718
46,147.87136603212738,0.756367609403597,0.70604739283107
47,151.11105206193065,0.7567335232069585,0.7067989120823067
48,154.40687854774086,0.7571355578715008,0.7076259213107889
49,157.68036954648304,0.7574844263777574,0.7083446747720186
50,160.93167719465174,0.7577041771452334,0.708797945433811
51,164.29283235290396,0.7580893073145478,0.7095933297133895
52,167.5823475732783,0.7584035358696641,0.7102432241253465
53,171.17209694015486,0.7586176774428184,0.7106866009217792
54,174.5702085114739,0.7589451561074534,0.7113654016811454
55,177.96260002834515,0.7592769942026057,0.7120541800212916
56,181.31420065881662,0.759655889118287,0.712841793601376
57,184.57701449396544,0.75993653731351,0.7134259813673277
58,187.8432261540131,0.7602283825563251,0.7140342013389136
59,191.1214473292201,0.7604972568647279,0.7145952043024044
60,194.40478580389376,0.7608990442617424,0.7154347036467427
61,197.76705267827046,0.7613801506533272,0.7164417909435777
62,200.96009295197894,0.761306855504817,0.7162882331103909
63,204.33893693661483,0.7613294795104573,0.716335626758707
64,207.5757877306797,0.7613781845001438,0.7164376711163954
65,210.83541512095812,0.7614835040726109,0.7166584028657754
66,214.06169635358268,0.7616165294485381,0.7169373405649315
67,217.26370941333337,0.7616504439888819,0.7170084800465941
68,220.61683592215905,0.7617955923292328,0.7173130590783533
69,223.95510776547465,0.7623683305820341,0.7185167057898284
70,227.1781165591683,0.7628187363537775,0.7194653023327526
71,230.5431765157129,0.7632644487739684,0.7204057892233143
72,233.8527892712923,0.763467749564832,0.7208353574353391
