model,n_runs,energy_mean,energy_std,gain_mean,r2_mean,eff_mean,e_r2_0.5_mean,e_r2_0.75_mean,e_r2_0.79_mean
histgb,5,132.15145519805378,6.4380640618840275,0.941778857208989,0.847791870517556,0.007137599999999999,0.5044532200559235,1.408880598396363,2.1817750150117874
linear,5,0.056288441585321425,0.011559729276186145,0.5099585427706262,0.6391157672660874,9.32767,0.04987196742279048,,
mlp_128_64,5,134.38259427095014,40.09663473103654,0.8059909755554532,0.8002838400836915,0.0066365999999999994,0.42846112191589825,7.371374611618052,50.030352786381435
mlp_128_64_32,5,91.8828712218099,13.282071514727075,0.8204068609064536,0.8060287601434151,0.0090872,0.5342119706214523,4.896643530839887,23.498526166079284
random_forest,5,90.86289217896186,2.0423811658276514,0.8831804260499098,0.8288329336892474,0.009721200000000001,1.593024539668255,1.593024539668255,2.2330159536021994
