Model,Runs,Energy(J) μ,Energy(J) σ,Gain μ,Gain σ,R² μ,Eff(nats/J),Time(s)
histgb,5,7.887975562706575,0.15122639470461027,0.9212309763412554,0.023843245608032415,0.841429984337155,0.11686579999999999,13.636000000000001
linear,5,0.05367824687481404,0.009294961879697269,0.5099585427706262,0.02128699938551912,0.6391157672660874,9.7167852,10.01
mlp,5,21.61880163308431,9.790750719029543,0.7651480074354802,0.0262093089677451,0.7832892368306915,0.043544000000000006,19.348000000000003
random_forest,5,33.46113489249287,1.1852467706746415,0.8649691415637101,0.02371130428963645,0.8225448995697164,0.0258606,24.116
