model,run,seed,energy_j,val_r2,info_gain,best_epoch,e_to_r2_0.5,e_to_r2_0.75,e_to_r2_0.79
histgb,run_1,42,120.87196478276721,0.8413939293935448,0.9206658471533739,,0.4505051645278454,1.6628951843354465,2.7671511822679755
histgb,run_2,43,136.45749282265075,0.8502289514339522,0.9493237469134432,,0.5314073970519066,1.3681557085321423,2.0919816068106654
histgb,run_3,44,134.04800886419983,0.8597635737622864,0.9822127609409343,,0.5473792504281998,1.348259351297569,1.6699535695759775
histgb,run_4,45,133.35922011741872,0.8465862391850576,0.9373083443146821,,0.4992398446626186,1.3430749625371932,2.0082705040335656
histgb,run_5,46,136.02058940323246,0.8409866588129387,0.9193835867225115,,0.493734443609047,1.3220177852794648,2.371518212370753
linear,run_1,42,0.04151995029819012,0.6254240620553604,0.49098036251623245,,0.0292336960705518,,
linear,run_2,43,0.04973760761108398,0.6348106277209589,0.5036696158913424,,0.0454125743157386,,
linear,run_3,44,0.07114183140203953,0.6617774292863496,0.5420255534875035,,0.0668940196291685,,
linear,run_4,45,0.055523894237995156,0.6270205055928704,0.49311591781465164,,0.0493282881674766,,
linear,run_5,46,0.06351892437729836,0.6465462116748977,0.520001264143401,,0.0584912589310169,,
mlp_128_64,run_1,42,148.61574638852613,0.790226328677231,0.7808630425333661,325,0.4041727967178344,13.81705741838684,125.12518230986022
mlp_128_64,run_2,43,163.23030260626064,0.805204681511123,0.8179029602302236,351,0.4220893960673332,4.291880636915373,24.41836080887952
mlp_128_64,run_3,44,166.0638016750923,0.8160655965769927,0.8465880440356658,350,0.4748656603211641,4.071113755246067,17.816974628050637
mlp_128_64,run_4,45,68.73669457323648,0.7930311578453971,0.787593509019223,140,0.4587334841879368,6.1244950139164445,31.07992257339764
mlp_128_64,run_5,46,125.26642611163521,0.7968914358077132,0.7970073219587872,274,0.382444272285223,8.552326233625532,51.71132361171913
mlp_128_64_32,run_1,42,108.88645454905452,0.7993191841342054,0.8030198069340487,185,0.542433694608879,8.62546248250227,41.791718351473904
mlp_128_64_32,run_2,43,102.20293530612386,0.8118822347660573,0.8353435507233533,171,0.5330699507520915,2.7126070755433327,14.284136939173962
mlp_128_64_32,run_3,44,77.85136042730721,0.8177763002376603,0.8512601135405609,124,0.5821979417551041,2.3326725807061197,14.023801788098716
mlp_128_64_32,run_4,45,81.71512837416603,0.8026449892201355,0.8113755434372666,136,0.5175748305374146,3.5247340169201844,16.19127976305933
mlp_128_64_32,run_5,46,88.75847745239784,0.7985210923590174,0.8010352898970392,143,0.4957834354537725,7.287741498527527,31.201693988590502
random_forest,run_1,42,90.42404544701841,0.8178142453795711,0.8513642413056107,,1.5702962803321838,1.5702962803321838,3.0807803164646863
random_forest,run_2,43,90.97456220078303,0.8333815017977599,0.8960242608931404,,1.6134129430193425,1.6134129430193425,1.6134129430193425
random_forest,run_3,44,94.09523813860655,0.8404702967189597,0.9177625733140413,,1.5447894807005882,1.5447894807005882,1.5447894807005882
random_forest,run_4,45,88.4584246645597,0.8323520811295362,0.8929446098421476,,1.598034772474051,1.598034772474051,1.598034772474051
random_forest,run_5,46,90.36219044384158,0.8201465434204105,0.8578064448946097,,1.638589221815109,1.638589221815109,3.3280622553523296
