model,n,energy_mean,energy_std,r2_mean,gain_mean,energy_to_r2_0.5,energy_to_r2_0.5_n_reached,energy_to_r2_0.75,energy_to_r2_0.75_n_reached,energy_to_r2_0.8,energy_to_r2_0.8_n_reached
mlp_128x64x32,5,87.15274433613324,13.007186560694949,0.8060287601434151,0.8204068609064536,0.501914386956563,5,4.6399395755680946,5,22.800045486203693,3
mlp_200x30,5,69.6071448308627,43.61709956809432,0.8039387921806384,0.8149691045173506,0.47953732134892935,5,1.5477690943785045,5,17.166518890291307,3
mlp_32x64x128,5,130.79533251863387,33.60752642470415,0.8062891537719346,0.8212473381390103,0.5022827514528752,5,11.051786211535681,5,59.55850182423143,4
mlp_50x40x30x20,5,72.18939463873329,16.806261222737533,0.806153303279032,0.8208067384100721,0.3775708638693666,5,3.707002771151271,5,34.58032505531345,4
mlp_60x60x60,5,84.73676848008954,17.0728502503153,0.8067279826949804,0.8222008403854044,0.4305292769968986,5,5.448848811346255,5,59.02913014963949,5
