model,run,seed,energy_j,val_r2,info_gain,best_epoch,e_to_r2_0.5,step_to_r2_0.5,e_to_r2_0.75,step_to_r2_0.75,e_to_r2_0.8,step_to_r2_0.8,energy_per_epoch,energy_at_best
mlp_128x64x32,run_1,42,260.863481235466,0.7993191841342054,0.8030198069340487,185,1.127980277379036,1,21.03312304416847,17,,,1.271523942425661,235.2319293487473
mlp_128x64x32,run_2,43,243.7610824602146,0.8118822347660573,0.8353435507233533,171,1.1454757153720856,1,6.213083681936264,5,57.43467835140706,46.0,1.2756311603105055,218.13292841309644
mlp_128x64x32,run_3,44,184.18189524638368,0.8177763002376603,0.8512601135405609,124,1.1487259290611744,1,4.950045656127691,4,46.39123397531915,37.0,1.2778511664743517,158.45354464281962
mlp_128x64x32,run_4,45,211.79519247532875,0.8026449892201355,0.8113755434372666,136,1.1846701123591423,1,8.774399259237766,7,89.20403260206051,70.0,1.3655912282687737,185.7204070445532
mlp_128x64x32,run_5,46,209.89932422483645,0.7985210923590174,0.8010352898970392,143,1.132328884981537,1,17.54723743279457,14,,,1.2852873029930467,183.7960843280057
mlp_250x30,run_1,42,164.78291583962624,0.8012008315262346,0.8077300837479745,61,1.2263007505974053,1,6.30804566459136,5,66.89519523754325,50.0,1.6041286738728069,97.85184910624122
mlp_250x30,run_2,43,133.0017215500331,0.802554598870566,0.8111465914189244,46,1.2515043290062426,1,2.5716341131501674,2,35.128995724836514,27.0,1.3095412886257964,60.23889927678664
mlp_250x30,run_3,44,125.31825447731886,0.8126728031651376,0.8374492377011783,53,1.228175859565401,1,2.621730952112198,2,17.867672202134273,14.0,1.4508109582828073,76.89298078898878
mlp_250x30,run_4,45,107.52088771906978,0.7929880613286813,0.787489406319611,41,1.23282179500494,1,3.8686935912915694,3,,,1.3002916603792936,53.31195807555103
mlp_250x30,run_5,46,351.85294086735075,0.8024492359342313,0.8108798472119736,112,1.2401157000141143,1,5.23300257913475,4,85.3179530919178,54.0,2.489117716005257,278.7811841925888
mlp_32x64x128,run_1,42,432.86920931248056,0.8004658141923275,0.8058848499501423,320,1.1349893744693755,1,51.96517765680065,42,370.63389990027656,292.0,1.2709302006132757,406.6976641962482
mlp_32x64x128,run_2,43,258.0283957980715,0.8096603686762383,0.8294726346374873,186,1.1397871995971205,1,10.966656044051886,9,97.88219056635384,79.0,1.2513042434223436,232.7425892765559
mlp_32x64x128,run_3,44,275.6109574622938,0.8224417557675798,0.8642282936855018,200,1.1033987306453463,1,9.714437408127427,8,68.6523153036151,56.0,1.2519827403361192,250.39654806722385
mlp_32x64x128,run_4,45,240.6376705220306,0.8005188340411971,0.8060177266651529,171,1.097967391610861,1,22.054459102391483,18,187.162177092788,149.0,1.256496902568693,214.8609703392465
mlp_32x64x128,run_5,46,373.99011430071465,0.7983589961823299,0.8006331857567669,277,1.1108003643510105,1,36.57761980801365,30,,,1.2566560414881969,348.09372349223054
mlp_40x150x40,run_1,42,260.28226801366844,0.7976865379421918,0.7989684960005813,171,1.2147242332522152,1,25.308062198252152,19,,,1.3622134116697708,232.93849339553083
mlp_40x150x40,run_2,43,341.12347316842937,0.8101939257063541,0.8308761948319002,233,1.1642753562971115,1,7.75468325706253,6,106.67004370193558,80.0,1.3467820724479151,313.80022288036423
mlp_40x150x40,run_3,44,291.1246930784341,0.8171383506990313,0.8495127134063942,194,1.204830735588455,1,7.814578235610676,6,47.8883816167499,36.0,1.357741969407901,263.4019420651328
mlp_40x150x40,run_4,45,195.34127436355533,0.7996504321460071,0.8038457994288366,125,1.1889829693101883,1,11.76732488907852,9,,,1.345519486173169,168.18993577164613
mlp_40x150x40,run_5,46,264.01610601513323,0.8006851356702224,0.8064347359281205,172,1.201825964583397,1,18.68421655643797,14,204.4156936608196,149.0,1.3741805823213715,236.3590601592759
mlp_70x70x70,run_1,42,236.51097941888165,0.7994801510460283,0.8034210199293769,170,1.082932385920906,1,28.947119719344805,24,,,1.2406394146080533,210.90870048336905
mlp_70x70x70,run_2,43,234.73382710010986,0.8138891593298636,0.8407064325879654,168,1.131316302392578,1,8.398711427172852,7,54.94795890345459,45.0,1.2449258654240198,209.14754539123533
mlp_70x70x70,run_3,44,238.78816614263488,0.8213169804009852,0.8610709415807074,171,1.086337968287587,1,5.988108259231615,5,44.1598369475033,36.0,1.247062301813477,213.24765361010455
mlp_70x70x70,run_4,45,214.32307923282136,0.8027432424616181,0.8116245305466265,152,1.038833654555655,1,11.889452757635832,10,123.84638315527502,100.0,1.2452047461061866,189.27112140814037
mlp_70x70x70,run_5,46,290.6730209401556,0.8004531773453438,0.8058531850833108,213,1.0847666983819009,1,16.886596424699544,14,203.47339300493144,164.0,1.2440188893554323,264.97602343270705
mlp_90x60x50x30,run_1,42,179.56725241859064,0.8008888418426766,0.8069460132511542,87,1.5108847690766811,1,16.41139191430993,10,128.8600669873642,77.0,1.6779547567158766,145.98206383428126
mlp_90x60x50x30,run_2,43,178.69660711930018,0.8092864226583497,0.8284912857617213,86,1.523024735394073,1,6.513795007140017,4,50.09661144440107,30.0,1.6838753872757122,144.81328330571125
mlp_90x60x50x30,run_3,44,213.75238378001416,0.8153115610105349,0.8445424935938634,109,1.523530053989172,1,4.868032974554181,3,35.95644386865592,22.0,1.653653455260293,180.24822662337195
mlp_90x60x50x30,run_4,45,138.2885664154281,0.8036564244596756,0.8139446089606741,63,1.5121464189051863,1,8.10089505311575,5,64.46390785162563,39.0,1.663559586233847,104.80425393273237
mlp_90x60x50x30,run_5,46,142.8426841947633,0.8063869637561458,0.8209468852181521,65,1.554207890653467,1,11.50219247241478,7,63.18663552691908,38.0,1.6715047414713573,108.64780819563822
