structure,run_id,seed,stopped_early,total_energy_j,best_val_r2,final_val_r2,test_r2,background_power_watts
200,1,249,False,1988.0595271512034,0.7874408349262522,0.7869496256178761,0.791701691208337,2.1809757999999997
200,5,277,False,1290.7119090725514,0.7846396439041504,0.7750510910573855,0.7727581905792802,2.1018439
200,4,270,False,1315.610447307851,0.7964047833865444,0.7957161124749397,0.8033144414688429,2.0833137
200,2,256,False,1141.8764367300578,0.7904341614670434,0.7860928235700183,0.7945526350902417,2.2185185
200,3,263,False,1295.716089041409,0.7993666210031791,0.773413997618065,0.7823749940732447,2.1578802
"50,50",1,349,False,1187.1524358197116,0.8134003627844524,0.8080459799623232,0.8053412731531482,2.1464789
"50,50",5,377,False,1645.470560203359,0.8116491472826577,0.8053403117677591,0.7880725954183638,2.1295539000000003
"50,50",4,370,False,1200.0654108606036,0.8073147417298281,0.7911730989458167,0.7841082677218884,2.2613773
"50,50",2,356,False,1994.6781042616908,0.7990380116164988,0.7911237578513972,0.8026855630031003,2.1051399
"50,50",3,363,False,1157.6498074112214,0.7898385237581651,0.7837899112432836,0.8059649230209722,2.1721379
100,1,149,False,1290.2153970423296,0.7922038322863405,0.7867037243887949,0.7775597017134296,2.1258247
100,5,177,False,1277.404185178977,0.7821589763696948,0.7697909821157417,0.8013983749543379,2.1621527
100,4,170,False,1277.6440279309372,0.8028624949475658,0.8028624949475658,0.761221804338556,2.0774543999999997
100,2,156,False,1297.160808930217,0.8054257192140479,0.8031869726206239,0.7779508379106808,2.1332892
100,3,163,False,1278.2251741170355,0.7998442919714663,0.7984330966155867,0.7921001147966331,2.1156806
"100,100",1,449,False,2296.8698199185224,0.7753199144776584,0.7064292089044343,0.749982303907494,2.2358707
"100,100",5,477,False,1942.1453006251468,0.8167474339612004,0.7568259912714385,0.7358764132527662,2.0436105
"100,100",4,470,False,2179.8225155894006,0.7942144784325054,0.7464236122754215,0.7610983376293635,2.1534064
"100,100",2,456,False,2766.649706013095,0.7907532337811061,0.7519865575871949,0.768037712355379,2.1313239
"100,100",3,463,False,1786.6397269121105,0.8055376847867091,0.7480943555033652,0.7531259101384933,2.2109075000000002
50,1,49,False,664.0744270861406,0.7955338419305809,0.7953482366002925,0.786468101126822,2.1651800000000003
50,5,77,False,665.2114998616171,0.8004837381380163,0.8004662281263788,0.7549513862068641,2.147132
50,4,70,False,667.1796821309721,0.7907635287651862,0.7904074512628091,0.7870728179030566,2.0719003000000003
50,2,56,False,663.1578406446654,0.7785108276020247,0.7782166323252008,0.756194612123643,2.0640206
50,3,63,False,665.9526570226092,0.791779331389949,0.7857070999335368,0.7965345450177399,2.0578195
