energy_joules,info_gain_nats
0.0038030935175418857,0.0
0.008307308390498161,0.09551057101598007
0.010271499486422541,-2.7484886417024215
0.01727890464937687,-5.223630076670811
0.024712018404006955,-7.195396806387525
0.03207320465443135,-8.76857163281738
0.03421739071483612,-10.009279769296056
0.04248966763250828,-10.962743402840077
0.05096250815026761,-11.661912257599496
0.05306649403965473,-12.131911609736589
0.061323825281667715,-12.392562102307492
0.07058443033061026,-12.459915785827851
0.07918936161062717,-12.34724703691495
0.08209911098608971,-12.065721074823276
0.09049762413265708,-11.624861761366422
0.09938586442239286,-11.032891031381437
0.10152508635065557,-10.296998803215438
0.10590323559310438,-9.423694155049803
0.1154817666260958,-8.420298635651488
0.12229835236346723,-7.307502927963454
0.12339884714856145,-6.225725249980518
0.13207610655984878,-5.636931771647073
0.14046010938556194,-5.460195053613517
0.14516676514847282,-5.349817840764237
0.1560906562851906,-5.245953972780125
0.16252776490929127,-5.144305279019992
0.17069098208706385,-5.0444662742918505
0.17583872671203615,-4.946238632827567
0.18881056209926605,-4.849462608554149
0.19438547036232945,-4.7540069299496714
0.1998509240540266,-4.659761992787043
0.2039226518376827,-4.566634605923459
0.20946410562438966,-4.474544328455759
0.2149680319638967,-4.383420907473232
0.21900701272275447,-4.293202424230264
0.2229147935006141,-4.2038339027174825
0.23304768349721428,-4.1152662313034165
0.23673137370283598,-4.027455305122214
0.23971635474672315,-3.94036133019833
0.24389902649586204,-3.853948250150672
0.2478838073687315,-3.7681832684856436
0.25160987993495465,-3.6830364471955384
0.25560375157008175,-3.598480367435273
0.25948126006116873,-3.5144898414941004
0.2696364593525171,-3.4310416677105247
0.27413851289219854,-3.348114421758134
0.2784691118605137,-3.265688279073558
0.28256156536219124,-3.1837448642424695
0.28670754602603915,-3.102267123992843
0.29038381781318184,-3.0212392211242904
0.2942212353519917,-2.9406464472697316
